nomor,tahun,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kelahiran,jumlah_bayi,jumlah_balita
112,2021-01-01,3207,KABUPATEN CIAMIS,,,2368.0
113,2021-01-01,3208,KABUPATEN KUNINGAN,,,2461.0
114,2021-01-01,3209,KABUPATEN CIREBON,,,13385.0
115,2021-01-01,3210,KABUPATEN MAJALENGKA,,,3705.0
116,2021-01-01,3211,KABUPATEN SUMEDANG,,,2382.0
117,2021-01-01,3212,KABUPATEN INDRAMAYU,,,5586.0
118,2021-01-01,3213,KABUPATEN SUBANG,,,2736.0
119,2021-01-01,3214,KABUPATEN PURWAKARTA,,,922.0
120,2021-01-01,3215,KABUPATEN KARAWANG,,,2914.0
121,2021-01-01,3216,KABUPATEN BEKASI,,,15485.0
122,2021-01-01,3217,KABUPATEN BANDUNG BARAT,,,5210.0
123,2021-01-01,3218,KABUPATEN PANGANDARAN,,,347.0
124,2021-01-01,3271,KOTA BOGOR,,,2990.0
125,2021-01-01,3272,KOTA SUKABUMI,,,621.0
126,2021-01-01,3273,KOTA BANDUNG,,,4996.0
127,2021-01-01,3274,KOTA CIREBON,,,2394.0
128,2021-01-01,3275,KOTA BEKASI,,,5662.0
129,2021-01-01,3276,KOTA DEPOK,,,2397.0
130,2021-01-01,3277,KOTA CIMAHI,,,1221.0
131,2021-01-01,3278,KOTA TASIKMALAYA,,,3766.0
132,2021-01-01,3279,KOTA BANJAR,,,603.0
